USER     PID   PPID  VSIZE  RSS     WCHAN    PC         NAME
root      696   3     0      0     ffffffff 00000000 S kworker/0:1H
root      697   3     0      0     ffffffff 00000000 S jbd2/mmcblk0p1-
root      698   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      699   3     0      0     ffffffff 00000000 D jbd2/mmcblk0p2-
root      700   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      701   3     0      0     ffffffff 00000000 S jbd2/mmcblk0p3-
root      702   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      703   3     0      0     ffffffff 00000000 S kworker/1:1H
root      704   3     0      0     ffffffff 00000000 S jbd2/mmcblk0p5-
root      705   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      706   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      707   3     0      0     ffffffff 00000000 S jbd2/mmcblk0p8-
root      708   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      709   3     0      0     ffffffff 00000000 S jbd2/mmcblk0p9-
root      710   3     0      0     ffffffff 00000000 S ext4-dio-unwrit
root      733   1     1428   0     ffffffff 00000000 S /sbin/healthd
root      734   1     928    40    ffffffff 00000000 S /system/bin/sh
system    735   1     1004   84    ffffffff 00000000 S /system/bin/servicemanager
root      736   1     4688   0     ffffffff 00000000 S /system/bin/vold
root      738   1     2392   0     ffffffff 00000000 S /system/bin/hardwared
root      740   1     3024   32    ffffffff 00000000 S /system/bin/keypad
root      741   1     8740   280   ffffffff 00000000 S /system/bin/netd
root      742   1     1096   140   ffffffff 00000000 S /system/bin/debuggerd
system    743   1     40824  1320  ffffffff 00000000 S /system/bin/surfaceflinger
root      744   1     271488 4228  ffffffff 00000000 S zygote
drm       745   1     9612   0     ffffffff 00000000 S /system/bin/drmserver
media     746   1     38088  10508 ffffffff 00000000 S /system/bin/mediaserver
install   747   1     996    4     ffffffff 00000000 S /system/bin/installd
keystore  748   1     3368   8     ffffffff 00000000 S /system/bin/keystore
root      749   1     6600   188   ffffffff 00000000 S /system/bin/FileDesc_server
root      750   3     0      0     ffffffff 00000000 S flush-179:0
root      752   1     3116   120   ffffffff 00000000 S /system/vendor/bin/coocaa_guard
media_rw  753   1     3516   416   ffffffff 00000000 S /system/bin/sdcard
root      762   3     0      0     ffffffff 00000000 S pvr_timer
root      767   3     0      0     ffffffff 00000000 S pvr_sync_workqu
root      772   3     0      0     ffffffff 00000000 S DcCookie
root      855   1     860    40    ffffffff 00000000 S logwrapper
root      878   855   4976   0     ffffffff 00000000 S /system/rtk_rootfs/usr/local/bin/RootApp
root      890   878   43952  352   ffffffff 00000000 S TvServer
root      1028  3     0      0     ffffffff 00000000 S pvr_workqueue
root      1250  1     10720  0     ffffffff 00000000 S VirtualEvent
root      1264  1     884    0     ffffffff 00000000 S smobsd
root      1341  3     0      0     ffffffff 00000000 S scsi_eh_0
root      1342  3     0      0     ffffffff 00000000 S usb-storage
system    1351  744   384236 19008 ffffffff 00000000 S system_server
root      1363  3     0      0     ffffffff 00000000 S kworker/u:3
shell     1409  1     5624   176   ffffffff 00000000 S /sbin/adbd
