USER     PID   PPID  VSIZE  RSS     WCHAN    PC        NAME
root      1     0     9132   1136  ffffffff 00000000 S /init
root      2     0     0      0     ffffffff 00000000 S kthreadd
root      3     2     0      0     ffffffff 00000000 S ksoftirqd/0
root      5     2     0      0     ffffffff 00000000 S kworker/0:0H
root      7     2     0      0     ffffffff 00000000 S rcu_sched
root      8     2     0      0     ffffffff 00000000 S rcu_bh
root      9     2     0      0     ffffffff 00000000 S migration/0
root      10    2     0      0     ffffffff 00000000 S migration/1
root      11    2     0      0     ffffffff 00000000 S ksoftirqd/1
root      13    2     0      0     ffffffff 00000000 S kworker/1:0H
root      14    2     0      0     ffffffff 00000000 S migration/2
root      15    2     0      0     ffffffff 00000000 S ksoftirqd/2
root      17    2     0      0     ffffffff 00000000 S kworker/2:0H
root      18    2     0      0     ffffffff 00000000 S migration/3
root      19    2     0      0     ffffffff 00000000 S ksoftirqd/3
root      21    2     0      0     ffffffff 00000000 S kworker/3:0H
root      22    2     0      0     ffffffff 00000000 S khelper
root      25    2     0      0     ffffffff 00000000 S perf
root      348   2     0      0     ffffffff 00000000 S writeback
root      351   2     0      0     ffffffff 00000000 S crypto
root      352   2     0      0     ffffffff 00000000 S bioset
root      354   2     0      0     ffffffff 00000000 S kblockd
root      397   2     0      0     ffffffff 00000000 S vmalloc
root      404   2     0      0     ffffffff 00000000 S kworker/0:1
root      405   2     0      0     ffffffff 00000000 S smcthread/0
root      406   2     0      0     ffffffff 00000000 S tcwork
root      407   2     0      0     ffffffff 00000000 S agent_rpmb
root      416   2     0      0     ffffffff 00000000 S cfg80211
root      501   2     0      0     ffffffff 00000000 S rpciod
root      517   2     0      0     ffffffff 00000000 S kswapd0
root      577   2     0      0     ffffffff 00000000 S fsnotify_mark
root      595   2     0      0     ffffffff 00000000 S nfsiod
root      599   2     0      0     ffffffff 00000000 S cifsiod
root      808   2     0      0     ffffffff 00000000 S kpsmoused
root      819   2     0      0     ffffffff 00000000 S dm_bufio_cache
root      820   2     0      0     ffffffff 00000000 S cfinteractive
root      823   2     0      0     ffffffff 00000000 S dw-mci-card
root      825   2     0      0     ffffffff 00000000 S dw-mci-card
root      846   2     0      0     ffffffff 00000000 S binder
root      858   2     0      0     ffffffff 00000000 S agent_smmu
root      876   2     0      0     ffffffff 00000000 S mali_dvfs
root      878   2     0      0     ffffffff 00000000 S kworker/u9:0
root      891   2     0      0     ffffffff 00000000 S mmcqd/0
root      893   2     0      0     ffffffff 00000000 S mmcqd/0boot0
root      894   2     0      0     ffffffff 00000000 S mmcqd/0boot1
root      895   2     0      0     ffffffff 00000000 S mmcqd/0rpmb
root      933   2     0      0     ffffffff 00000000 S ipv6_addrconf
root      937   2     0      0     ffffffff 00000000 S krfcommd
root      942   2     0      0     ffffffff 00000000 S deferwq
root      974   2     0      0     ffffffff 00000000 D HDMIRX main tas
root      975   2     0      0     ffffffff 00000000 D CEC main task
root      1031  2     0      0     ffffffff 00000000 D ThreadCommipMan
root      1075  2     0      0     ffffffff 00000000 D HI_VPSS_Process
root      1106  1     9124   744   ffffffff 00000000 S /sbin/ueventd
root      1547  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p15
root      1548  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1551  2     0      0     ffffffff 00000000 S kworker/0:1H
root      1553  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p23
root      1554  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1558  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p22
root      1559  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1563  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p16
root      1564  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1568  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p17
root      1569  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1573  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p18
root      1574  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1578  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p19
root      1579  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1581  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p12
root      1582  2     0      0     ffffffff 00000000 S ext4-rsv-conver
root      1584  2     0      0     ffffffff 00000000 S jbd2/mmcblk0p20
root      1585  2     0      0     ffffffff 00000000 S ext4-rsv-conver
logd      1586  1     41520  16780 ffffffff 00000000 S /system/bin/logd
root      1587  1     10052  484   ffffffff 00000000 S /sbin/healthd
root      1588  1     13312  2504  ffffffff 00000000 S /system/bin/lmkd
system    1589  1     10384  836   ffffffff 00000000 S /system/bin/servicemanager
root      1590  1     30016  3440  ffffffff 00000000 S /system/bin/vold
system    1591  1     130364 21088 ffffffff 00000000 S /system/bin/surfaceflinger
root      1592  1     23860  2456  ffffffff 00000000 S /system/bin/netd
root      1593  1     10052  1080  ffffffff 00000000 S /system/bin/debuggerd
root      1594  1     11872  2256  ffffffff 00000000 S /system/bin/debuggerd64
drm       1595  1     27728  5732  ffffffff 00000000 S /system/bin/drmserver
media     1596  1     165568 23768 ffffffff 00000000 S /system/bin/mediaserver
install   1597  1     10444  1336  ffffffff 00000000 S /system/bin/installd
keystore  1598  1     15516  4096  ffffffff 00000000 S /system/bin/keystore
root      1599  1     48452  14236 ffffffff 00000000 S /system/bin/hiaoservice
root      1600  1     46152  12904 ffffffff 00000000 S /system/bin/hisysmanager
root      1601  1     18912  2264  ffffffff 00000000 S /system/bin/hikaraokeservice
root      1602  1     18044  1976  ffffffff 00000000 S /system/bin/netshared
root      1603  1     64748  17036 ffffffff 00000000 S /system/bin/displaysetting
