USER     PID   PPID  VSIZE  RSS     WCHAN    PC        NAME
root      1622  1     22460  2384  ffffffff 00000000 S /system/bin/android_ir_user
root      1623  1     17324  908   ffffffff 00000000 S /system/bin/teecd
root      1635  2     0      0     ffffffff 00000000 S kauditd
root      1638  1     10092  1340  ffffffff 00000000 S /system/bin/sh
root      1642  1     10092  1428  ffffffff 00000000 S /system/bin/sh
root      1746  1614  29304  6620  ffffffff 00000000 S /system/bin/stbserver
root      1754  1     10092  1380  ffffffff 00000000 S sh
root      1757  1     10092  1368  ffffffff 00000000 S sh
root      1813  1642  10092  368   ffffffff 00000000 S /system/bin/sh
root      1830  1     9932   1232  ffffffff 00000000 S /system/bin/logcat
root      1860  2     0      0     ffffffff 00000000 S kworker/2:1H
root      1873  2     0      0     ffffffff 00000000 S kworker/3:1H
root      1879  2     0      0     ffffffff 00000000 S HI_VFMW_VideoDe
root      1881  2     0      0     ffffffff 00000000 D VdecKernelThrea
root      1882  2     0      0     ffffffff 00000000 S HIFB_WorkQueque
root      2025  1     23712  2556  ffffffff 00000000 S VirtualEvent
root      2029  1     9208   208   ffffffff 00000000 S smobsd
root      2193  2     0      0     ffffffff 00000000 S kworker/1:1H
system    2235  1619  1807340 149520 ffffffff 00000000 S system_server
system    2453  1620  1258164 61520 ffffffff 00000000 S com.bajintech.karaok
u0_a7     2472  1619  1706712 125240 ffffffff 00000000 S com.android.systemui
u0_a2     2511  1619  1679064 54440 ffffffff 00000000 S android.process.media
system    2544  1620  1324596 105680 ffffffff 00000000 S com.tianci.system
u0_a3     2592  1619  1676764 46636 ffffffff 00000000 S com.android.externalstorage
system    2624  1620  1223328 47124 ffffffff 00000000 S com.hisilicon.android.hiRMService
system    2642  1619  1678968 50776 ffffffff 00000000 S com.skyworth.android.skyRMService
system    2682  1620  1694544 332680 ffffffff 00000000 S com.tianci.movieplatform
root      2712  2     0      0     ffffffff 00000000 S kworker/u9:1
u0_a1     2781  1619  1675680 46872 ffffffff 00000000 S com.android.defcontainer
wifi      2846  1     16040  5636  ffffffff 00000000 S /system/bin/wpa_supplicant
system    2906  1620  1252056 62364 ffffffff 00000000 S com.coocaa.os.softsettings.provider
u0_a19    2975  1620  1284056 89064 ffffffff 00000000 S com.coocaa.os.ccosservice
root      3020  2     0      0     ffffffff 00000000 S RTW_CMD_THREAD
system    3139  1619  1709932 80952 ffffffff 00000000 S com.tianci.push
root      3458  2     0      0     ffffffff 00000000 S kworker/3:2
shell     3555  1     19244  692   ffffffff 00000000 S /sbin/adbd
bluetooth 3613  1620  1256668 53572 ffffffff 00000000 S com.android.bluetooth
root      3629  2     0      0     ffffffff 00000000 D daemon_task
u0_a4     3809  1619  1676600 46188 ffffffff 00000000 S com.android.managedprovisioning
system    3842  1620  1232500 53956 ffffffff 00000000 S com.skyworth.dtv
system    4455  1620  1391460 150804 ffffffff 00000000 S com.skyworth.angel.voice
system    4686  1620  1299048 109168 ffffffff 00000000 S com.skyworth.setting
dhcp      5002  1     10968  1044  ffffffff 00000000 S /system/bin/dhcpcd
system    5093  1620  1383696 109072 ffffffff 00000000 S com.tianci.de
u0_a18    5440  1620  1219340 39444 ffffffff 00000000 S com.coocaa.messageprovider
shell     5499  3555  10092  872   000ac490 95289ca4 S /system/bin/sh
shell     5501  5499  1543288 74632 ffffffff 7aed5c98 S app_process
root      8455  2     0      0     ffffffff 00000000 S kworker/2:0
root      11399 2     0      0     ffffffff 00000000 S kworker/u8:0
root      11838 2     0      0     ffffffff 00000000 S kworker/1:1
root      11913 2     0      0     ffffffff 00000000 S kworker/u8:1
root      12523 2     0      0     ffffffff 00000000 S kworker/0:2
root      13542 2     0      0     ffffffff 00000000 S kworker/3:1
root      14030 2     0      0     ffffffff 00000000 S kworker/2:2
root      15126 2     0      0     ffffffff 00000000 S kworker/u8:3
shell     15480 3555  10092  1304  003f9280 7fac7d34 S /system/bin/sh
root      16507 2     0      0     ffffffff 00000000 S kworker/0:1
root      16732 2     0      0     ffffffff 00000000 S kworker/1:2
system    17584 1620  1552636 230516 ffffffff 00000000 S com.coocaa.aigc.home
root      18442 2     0      0     ffffffff 00000000 S kworker/2:1
root      18678 2     0      0     ffffffff 00000000 S kworker/u8:2
root      19267 2     0      0     ffffffff 00000000 S kworker/3:0
u0_a15    19819 1619  1711288 77368 ffffffff 00000000 S com.coocaa.sysreport
u0_a23    19913 1620  1265648 74928 ffffffff 00000000 S com.tianci.user
root      20041 2     0      0     ffffffff 00000000 S kworker/0:0
root      20339 1642  2124   1128  ffffffff 00000000 S busybox
shell     20346 3555  12456  1692  00000000 a9327d34 R ps
