


User 26%, System 8%, IOW 2%, IRQ 1%
User 308 + Nice 0 + Sys 104 + Idle 694 + IOW 31 + IRQ 0 + SIRQ 20 = 1157

  PID PR CPU% S  #THR     VSS     RSS PCY UID      Name
 2220  2  23% R    99 1864756K 204060K  fg system   com.tianci.movieplatform
 2334  0   0% S     1   4852K    848K     dhcp     /system/bin/dhcpcd
 2420  2   0% S    40 1554740K  65996K  fg u0_a17   com.coocaa.os.ccosservice
 2441  0   0% S     1      0K      0K     root     kworker/u9:1
 2503  1   0% S    36 1562572K  55324K  fg system   com.tianci.push
 2606  0   0% S    14 1508100K  39272K  fg system   com.coocaa.os.softsettings.provider
 2716  0   0% D     1      0K      0K     root     daemon_task
 2719  3   0% S    35 1510180K  33944K  fg bluetoot com.android.bluetooth
 2763  3   0% S     5   9992K    544K     shell    /sbin/adbd
 2835  0   0% S    15 1517248K  32376K  bg system   com.skyworthdigital.idtv
 2855  2   0% S    15 2059072K  36116K  bg u0_a2    android.process.media
 2886  1   0% S    12 2051368K  28636K  bg u0_a4    com.android.managedprovisioning
 2917  1   0% S    12 1485536K  27244K  bg system   com.skyworth.bluetoothsoundbarservice
 3098  0   0% S    12 1476888K  25848K  bg u0_a16   com.coocaa.messageprovider
 3303  1   0% S    32 1531960K  52032K  fg system   com.skyworth.smarthome_tv
 3383  0   0% S    26 1534152K  49932K  fg system   com.skyworth.smarthome_tv:aiotlib
 3432  2   0% S    37 1568948K  85956K  bg system   com.skyworth.setting
 4127  1   0% S    29 1517644K  44708K  bg u0_a21   com.tianci.user
12570  0   0% S     1      0K      0K     root     kworker/u8:2
14024  0   0% S     1      0K      0K     root     kworker/0:0
15234  2   0% S    14 114084K   8880K     shell    /data/local/tmp/atx-agent
15320  0   0% S    17 1314260K  32600K     shell    apkagent.cli
15401  1   0% S    23 2093664K  54808K  fg system   com.github.uiautomator
16549  0   0% S     1      0K      0K     root     kworker/0:2
16581  3   0% S     1      0K      0K     root     kworker/3:2
16582  2   0% S     1      0K      0K     root     kworker/2:1
19698  1   0% S     1      0K      0K     root     kworker/1:0
21641  2   0% S     1      0K      0K     root     kworker/2:2
25746  2   0% S     1      0K      0K     root     kworker/2:0
 1523  2   0% S     1   4440K   1344K     root     ./system/bin/hidraw_daemon_absolute_3751
    2  3   0% S     1      0K      0K     root     kthreadd
    5  0   0% S     1      0K      0K     root     kworker/0:0H
    7  0   0% S     1      0K      0K     root     migration/0
    8  0   0% S     1      0K      0K     root     rcu_bh
   10  1   0% S     1      0K      0K     root     migration/1
   11  1   0% S     1      0K      0K     root     ksoftirqd/1
   13  1   0% S     1      0K      0K     root     kworker/1:0H
   14  2   0% S     1      0K      0K     root     migration/2
   15  2   0% S     1      0K      0K     root     ksoftirqd/2
   17  2   0% S     1      0K      0K     root     kworker/2:0H
   18  3   0% S     1      0K      0K     root     migration/3
   19  3   0% S     1      0K      0K     root     ksoftirqd/3
   21  3   0% S     1      0K      0K     root     kworker/3:0H
   22  1   0% S     1      0K      0K     root     khelper
   23  1   0% S     1      0K      0K     root     kdevtmpfs
   36  0   0% S     1      0K      0K     root     kworker/0:1
   37  1   0% S     1      0K      0K     root     kworker/1:1
  321  1   0% S     1      0K      0K     root     writeback
  324  1   0% S     1      0K      0K     root     bioset
  325  1   0% S     1      0K      0K     root     crypto
  327  2   0% S     1      0K      0K     root     kblockd
  334  1   0% S     1      0K      0K     root     ata_sff
  344  0   0% S     1      0K      0K     root     khubd
  439  1   0% S     1      0K      0K     root     rpciod
  450  1   0% S     1      0K      0K     root     kswapd0
  502  0   0% S     1      0K      0K     root     fsnotify_mark
  521  1   0% S     1      0K      0K     root     nfsiod
  527  2   0% S     1      0K      0K     root     cifsiod
