name:,com.tianci.movi,init_cpu
 , ,15
 , ,40
 , ,40
 , ,33
 , ,33
 , ,33
 , ,33
 , ,29
 , ,45
 , ,48
 , ,42
 , ,25
 , ,28
 , ,36
 , ,23
